id,displayName,displayName_pt,name,name_pt,subname,subname_pt,set,rarity,tribe,subtype,subtype_pt,ability,ability_pt,flavorText,flavorText_pt,brainwashedText,brainwashedText_pt,brainwashed,unique,legendary,loyal,loyalRestriction,artist,serialNumber,isPast,stats/courage,stats/power,stats/wisdom,stats/speed,stats/energy,stats/mugic,elements/fire,elements/air,elements/earth,elements/water,imageUrl
DOP-57/232,Ekuud,Ekuud,Ekuud,Ekuud,,,dop,rare,danian,Noble,Nobre,Hive: Ekuud has an additional 5 Energy for each Mandiblor you control and each Infected Creature in play.,Multidão: Ekuud tem 5 de Energia adicional para cada Mandiblor que você controla e cada Criatura Infectada em jogo.,"""Fear the enemy, yes. But fear me more!"" — Ekuud","""Tema o inimigo, sim. Mas tema a mim ainda mais!"" — Ekuud",,,false,false,false,false,,"Khary Randolph, Anthony Washington",57/232,false,50,70,40,50,50,1,0,0,1,0,https://i.imgur.com/Pwargnn.png
DOP-58/232,Formicidor,Formicidor,Formicidor,Formicidor,,,dop,common,danian,Squadleader Scout,Explorador Líder de Esquadrão,Hive: Formicidor has an additional 10 :courage:Courage for each Mandiblor you control and each Infected Creature in play.,Multidão: Formicidor tem 10 de :courage:Coragem adicional para cada Mandiblor que você controla e cada Criatura Infectada em jogo.,"Because he dares to roam the UnderWorld, Formicidor knows secrets even some UnderWorlders do not.","Por ousar vagar pelo Submundo, Formicidor conhece segredos que até mesmo alguns habitantes do Submundo desconhecem.",,,false,false,false,false,,"Adrian Barrios, Anthony Washington",58/232,false,70,50,45,50,45,1,0,0,1,0,https://i.imgur.com/2B8OhdP.png
DOP-59/232,Galin,Galin,Galin,Galin,,,dop,uncommon,danian,Mandiblor,Mandiblor,Hive: Galin has an additional 10 :speed:Speed for each Mandiblor you control and each Infected Creature in play.,Multidão: Galin tem 10 de :speed:Velocidade ​​adicional para cada Mandiblor que você controla e cada Criatura Infectada em jogo.,"Galin believes he can speak with his Danian ancestors, who have yet to tell him anything of much use.","Galin acredita que pode falar com seus ancestrais Danians, que ainda não lhe disseram nada de muito útil.",,,false,false,false,false,,"Khary Randolph, Etienne St.Laurent",59/232,false,75,80,50,75,55,0,0,0,0,0,https://i.imgur.com/HVCDIsF.png
DOP-60/232,Hota,Hota,Hota,Hota,,,dop,uncommon,danian,Mandiblor Muge,Mago Mandiblor,,,"""Hota is the least ‘Danian’ Danian I know."" — Ibiaan","""Hota é o Danian menos 'Danian' que eu conheço."" — Ibiaan",,,false,false,false,false,,"Khary Randolph, Kanilla Tripp",60/232,false,50,65,45,40,35,2,1,0,0,0,https://i.imgur.com/1o3IOVF.png
DOP-61/232,Ibiaan,Ibiaan,Ibiaan,Ibiaan,,,dop,uncommon,danian,Mandiblor,Mandiblor,Hive: Ibiaan has an additional 5 :wisdom:Wisdom for each Mandiblor you control and each Infected Creature in play.,Multidão: Ibiaan tem 5 de :wisdom:Sabedoria adicional para cada Mandiblor que você controla e cada Criatura Infectada em jogo.,"""If Ibiaan’s so smart, why is he still a Mandiblor?"" — Hota","""Se Ibiaan é tão esperto, por que ele ainda é um Mandiblor?"" — Hota",,,false,false,false,false,,"Khary Randolph, Anthony Washington",61/232,false,55,70,75,40,55,0,0,0,1,0,https://i.imgur.com/OtSfPnv.png
DOP-62/232,Junda,Junda,Junda,Junda,,,dop,common,danian,Squadleader,Líder de Esquadrão,:danianmugic:: Activate Hive.,:danianmugic:: Ative Multidão.,"Every Mandiblor aspires to be a Squadleader. So, even while Junda faces the enemy, he’s also watching his back.","Todo Mandiblor aspira a ser um Líder de Esquadrão. Então, mesmo enquanto Junda enfrenta o inimigo, ele também está de olho nas suas costas.",,,false,false,false,false,,"Khary Randolph, David Curiel",62/232,false,45,65,60,50,55,1,0,0,0,0,https://i.imgur.com/HQ1P7JY.png
DOP-63/232,Kannen,Kannen,Kannen,Kannen,,,dop,rare,danian,Battlemaster,Mestre de Batalha,":danianmugic:: Activate Hive.
Sacrifice Kannen: Return a Mandiblor Creature Card from your general discard pile to play to any unoccupied space on the Battleboard.",":danianmugic:: Ative Multidão.
Sacrifique Kannen: Retorne um Mandiblor do seu Descarte para o jogo em qualquer espaço desocupado no Tabuleiro.","""My life is my Tribe!"" — Kannen","""Minha vida é minha Tribo!"" — Kannen",,,false,false,false,false,,Kazutoko Matsumoto,63/232,false,35,30,80,35,45,1,0,0,0,0,https://i.imgur.com/B5rmX6t.png
DOP-64/232,Kebna,Kebna,Kebna,Kebna,,,dop,uncommon,danian,Battlemaster,Mestre de Batalha,Hive: Kebna has an additional 5 Energy for each Mandiblor you control and each Infected Creature in play.,Multidão: Kebna tem 5 de Energia adicional para cada Mandiblor que você controla e cada Criatura Infectada em jogo.,There’s a fine line between bravery and insanity. Kebna crosses that line daily.,Há uma linha tênue entre a coragem e a insanidade. Kebna cruza essa linha diariamente.,,,false,false,false,false,,"Adrian Barrios, Anthony Washington",64/232,false,75,40,65,45,50,1,1,0,0,0,https://i.imgur.com/Ud4W1Pm.png
DOP-65/232,Lhad,Lhad,Lhad,Lhad,,,dop,common,danian,Mandiblor,Mandiblor,,,"""Unless we become one, we will become none."" — Mandiblor war cry","""Se não nos tornarmos um, viraremos nenhum."" — Grito de Guerra Mandiblor",,,false,false,false,false,,"Khary Randolph, David Curiel",65/232,false,75,75,80,35,45,0,1,0,0,0,https://i.imgur.com/ssgABuy.png
DOP-66/232,Lore,Lore,Lore,Lore,,,dop,super rare,danian,Muge,Mago,:danianmugic:: Deal 10 damage to target Creature and heal 10 damage to Lore.,:danianmugic:: Causa 10 de dano à Criatura alvo e cura 10 de dano do Lore.,"As a spirit leader of the Danians, many believe this shaman may one day lead his Tribe to the Cothica.","Como líder espiritual dos Danians, muitos acreditam que este xamã poderá um dia liderar sua tribo até a Cothica.",,,false,true,false,false,,"Khary Randolph, David Curiel",66/232,false,40,45,80,40,30,3,0,0,0,0,https://i.imgur.com/goOFSMi.png
