id,displayName,displayName_pt,importName,name,name_pt,subname,subname_pt,serial,set,rarity,tribe,ability,ability_pt,flavorText,flavorText_pt,unique,mugicCost,artist,imageUrl,mugicNotes/0/letter,mugicNotes/0/length,mugicNotes/0/sharp,mugicNotes/0/flat,mugicNotes/1/letter,mugicNotes/1/length,mugicNotes/1/sharp,mugicNotes/1/flat,mugicNotes/2/letter,mugicNotes/2/length,mugicNotes/2/sharp,mugicNotes/2/flat,mugicNotes/3/letter,mugicNotes/3/length,mugicNotes/3/sharp,mugicNotes/3/flat,mugicNotes/4/letter,mugicNotes/4/length,mugicNotes/4/sharp,mugicNotes/4/flat,mugicNotes/5/letter,mugicNotes/5/length,mugicNotes/5/sharp,mugicNotes/5/flat,mugicNotes/6/letter,mugicNotes/6/length,mugicNotes/6/sharp,mugicNotes/6/flat,uniqueId,mugicNotes/0
DOP-183/232,Canon of Casualty,Canhão do Desastre,canonofcasualty,Canon of Casualty,Canhão do Desastre,,,183/232,dop,uncommon,underworld,Deal 20 damage to target Creature.,Cause 20 de dano à criatura alvo.,"Even before the first three notes finish playing, OverWorlders scramble for the nearest shelter.","Antes mesmo de as três primeiras notas terminarem de tocar, os habitantes do OutroMundo já estão correndo para o abrigo mais próximo.",FALSE,1,Jerico Santander,https://i.imgur.com/hSGT5VV.png,E,2,FALSE,TRUE,F,2,FALSE,FALSE,D,2,FALSE,FALSE,G,2,FALSE,FALSE,B,2,FALSE,TRUE,A,1,FALSE,FALSE,D,3,FALSE,FALSE,Canon of Casualty__dop,
DOP-175/232,Cascade Symphony,Cascata Sinfônica,cascadesymphony,Cascade Symphony,Cascata Sinfônica,,,175/232,dop,rare,overworld,Damage dealt to target Creature by :fire:Fire or :air:Air attacks is reduced by 5. (An attack which is both :fire:Fire and :air:Air is still reduced by 5.),O dano causado à criatura alvo por ataques de Fogo ou Ar é reduzido em 5. (Um ataque que seja simultaneamente Fogo e Ar ainda é reduzido em 5.),"""There is but one true language, and that is Mugic. All else is gibberish."" - Donmar","""Só existe uma linguagem verdadeira, e essa é o Mugic. Todo o resto é incompreensível."" - Donmar",FALSE,1,Peter Joworoski,https://i.imgur.com/dp34ZzI.png,B,2,FALSE,TRUE,D,1,FALSE,FALSE,F,3,FALSE,FALSE,G,1,FALSE,FALSE,B,1,FALSE,TRUE,B,1,FALSE,TRUE,C,4,FALSE,FALSE,Cascade Symphony__dop,
DOP-191/232,Chorus of the Hive,Coro da Multidão,chorusofthehive,Chorus of the Hive,Coro da Multidão,,,191/232,dop,common,danian,Activate Hive.,Ative Multidão.,What repels some attracts others. Is preference learned or ingrained?,O que repele alguns atrai outros. A preferência é aprendida ou inata?,FALSE,1,Peter Joworoski,https://i.imgur.com/2TlXa5m.png,C,1,FALSE,FALSE,G,1,FALSE,FALSE,A,1,FALSE,TRUE,C,1,FALSE,FALSE,G,1,FALSE,FALSE,A,1,FALSE,TRUE,D,4,FALSE,FALSE,Chorus of the Hive__dop,
DOP-165/232,Decrescendo,Decrescendo,decrescendo,Decrescendo,Decrescendo,,,165/232,dop,common,generic,Deal 5 damage to target Creature.,Causa 5 de dano à criatura alvo.,Minimalism to the max.,Minimalismo ao máximo.,FALSE,1,Jerico Santander,https://i.imgur.com/0vmIAIz.png,G,2,FALSE,FALSE,G,1,FALSE,FALSE,F,1,FALSE,FALSE,E,2,FALSE,TRUE,E,2,FALSE,TRUE,C,1,FALSE,FALSE,D,4,FALSE,FALSE,Decrescendo__dop,
DOP-184/232,Discord of Disarming,Desarme da Discórdia,discordofdisarming,Discord of Disarming,Desarme da Discórdia,,,184/232,dop,uncommon,underworld,Destroy target Battlegear.,Destrua o Equipamento alvo.,"As his Windstrider decomposes into shrapnel, Bodal calculates that it will take 56.4 seconds before he splats on the ground.","Enquanto seus Ventos Agudos se desfazia em pedaços, Bodal calcula que levará 56,4 segundos até que ele se espatife no chão.",FALSE,1,Martin Molski,https://i.imgur.com/85wqGRI.png,E,3,FALSE,FALSE,D,3,TRUE,FALSE,E,3,FALSE,FALSE,D,3,TRUE,FALSE,D,1,FALSE,TRUE,E,1,FALSE,FALSE,A,4,TRUE,FALSE,Discord of Disarming__dop,
DOP-166/232,Ember Flourish,Floreio de Brasa,emberflourish,Ember Flourish,Floreio de Brasa,,,166/232,dop,uncommon,generic,Heal 15 damage to target Creature with :air:Air or :fire:Fire.,Cure 15 de dano à criatura alvo com Ar ou Fogo.,"No matter how many you carry with you, a song can never weigh you down.","Não importa quantas você carregue consigo, uma música nunca poderá te sobrecarregar.",FALSE,1,Jeff Huang,https://i.imgur.com/I2qFZup.png,A,1,FALSE,FALSE,B,1,FALSE,FALSE,C,1,FALSE,FALSE,A,1,FALSE,FALSE,B,1,FALSE,FALSE,C,1,FALSE,FALSE,E,4,FALSE,FALSE,Ember Flourish__dop,
DOP-197/232,Fanfare of the Vanishing,Fanfarra do Sumiço,fanfareofthevanishing,Fanfare of the Vanishing,Fanfarra do Sumiço,,,197/232,dop,rare,mipedian,"Target Creature gains ""Invisibility: Strike 15.""","A Criatura alvo ganha ""Invisibilidade: Ataque 15"".","When a melody becomes memory, it will never disappear.","Quando uma melodia se torna memória, ela jamais desaparece.",FALSE,1,Karol Kolodzinski,https://i.imgur.com/Y8JlfJc.png,B,1,FALSE,TRUE,G,1,FALSE,TRUE,A,1,FALSE,TRUE,F,1,FALSE,FALSE,G,1,FALSE,FALSE,E,1,FALSE,TRUE,F,4,FALSE,FALSE,Fanfare of the Vanishing__dop,
DOP-167/232,Fortissimo,Fortíssimo,fortissimo,Fortissimo,Fortíssimo,,,167/232,dop,super rare,generic,"Target Creature gains 5 :courage:Courage, :power:Power, :wisdom:Wisdom, :speed:Speed, and Energy.","A Criatura alvo ganha 5 de Coragem, Poder, Sabedoria, Velocidade e Energia.","Large is good. Larger is better. But really, really big is sometimes best.","Grande é bom. Maior é melhor. Mas, às vezes, Enorme é o ideal.",FALSE,1,Martin Molski,https://i.imgur.com/TH3hodk.png,G,2,TRUE,FALSE,C,1,TRUE,FALSE,E,2,FALSE,FALSE,C,2,TRUE,FALSE,D,2,TRUE,FALSE,G,1,FALSE,FALSE,F,4,TRUE,FALSE,Fortissimo__dop,
DOP-168/232,Geo Flourish,Geo Floreio,geoflourish,Geo Flourish,Geo Floreio,,,168/232,dop,uncommon,generic,Heal 15 damage to target Creature with :earth:Earth or :water:Water.,Cura 15 de dano à criatura alvo com Terra ou Água.,Protect the land and the land will protect you.,Proteja a terra e a terra o protegerá.,FALSE,1,Jeff Huang,https://i.imgur.com/WoX1z9x.png,B,1,FALSE,TRUE,A,1,FALSE,FALSE,G,1,FALSE,FALSE,F,1,FALSE,FALSE,E,2,FALSE,TRUE,A,2,FALSE,TRUE,G,4,FALSE,FALSE,Geo Flourish__dop,
DOP-176/232,Hymn of the Elements,Hino dos Elementos,hymnoftheelements,Hymn of the Elements,Hino dos Elementos,,,176/232,dop,common,overworld,Target Creature gains an Elemental Type of your choice.,A Criatura alvo ganha um Elemento à sua escolha.,All elements stem from nature — as does the Cothica itself.,Todos os elementos provêm da natureza — assim como a própria Cothica.,FALSE,1,Jerico Santander,https://i.imgur.com/DtE5e0A.png,A,1,FALSE,FALSE,B,1,FALSE,TRUE,C,2,FALSE,FALSE,F,2,FALSE,FALSE,E,2,FALSE,FALSE,D,1,FALSE,FALSE,A,4,FALSE,TRUE,Hymn of the Elements__dop,
